account_number,transaction_id,transaction_timestamp,transaction_amount,cr_dr_ind,New Beneficiary Flag,device_id,transaction_type_code
ACC000030,TXN0000010146,01/10/2023 00:17:45,25986.19,D,0,DEV0129,other3
ACC000016,TXN0000004915,01/10/2023 00:34:59,44411.15,D,0,DEV0102,nypy
ACC000001,TXN0000000002,01/10/2023 00:50:24,15433.69,D,0,DEV0074,jzzcsh
ACC000031,TXN0000010480,01/10/2023 01:21:41,25141.37,D,0,DEV0135,ezpsa
ACC000028,TXN0000009293,01/10/2023 02:57:01,11005.37,D,0,DEV0091,payment
ACC000030,TXN0000010149,01/10/2023 03:04:55,33139.49,D,0,DEV0129,other2
ACC000023,TXN0000007688,01/10/2023 03:45:24,20463.73,D,0,DEV0135,ezpsa
ACC000021,TXN0000006831,01/10/2023 03:51:35,27608.23,D,0,DEV0126,transfer
ACC000023,TXN0000007690,01/10/2023 04:15:54,34405.56,C,0,DEV0005,other1
ACC000035,TXN0000012007,01/10/2023 04:37:48,911.03,D,0,DEV0005,nypy
ACC000035,TXN0000012008,01/10/2023 05:02:43,857.36,D,0,DEV0186,ezpsa
ACC000028,TXN0000009292,01/10/2023 05:17:43,5813.21,D,0,DEV0101,other2
ACC000040,TXN0000013684,01/10/2023 05:36:45,19343.94,D,0,DEV0059,other2
ACC000044,TXN0000015020,01/10/2023 05:44:59,34831.22,D,0,DEV0006,payment
ACC000050,TXN0000017306,01/10/2023 06:19:25,23575.88,D,1,DEV0090,other3
ACC000028,TXN0000009295,01/10/2023 06:55:47,20600.54,D,0,DEV0101,payment
ACC000018,TXN0000005575,01/10/2023 08:03:56,6324.31,D,0,DEV0110,other3
ACC000026,TXN0000008761,01/10/2023 08:07:34,8960.02,D,0,DEV0057,other2
ACC000026,TXN0000008758,01/10/2023 08:15:24,27240.3,D,0,DEV0057,nypy
ACC000026,TXN0000008759,01/10/2023 08:18:18,29210.31,C,0,DEV0057,other1
ACC000039,TXN0000013429,01/10/2023 08:29:54,22177.46,D,0,DEV0093,jzzcsh
ACC000024,TXN0000008099,01/10/2023 08:31:10,4480.69,D,0,DEV0088,transfer
ACC000015,TXN0000004463,01/10/2023 08:48:03,11669.81,C,0,DEV0199,other3
ACC000046,TXN0000015983,01/10/2023 09:02:28,23512.02,D,0,DEV0190,other1
ACC000014,TXN0000004122,01/10/2023 09:03:21,12268.92,D,0,DEV0017,jzzcsh
ACC000045,TXN0000015497,01/10/2023 09:08:10,23901.34,C,0,DEV0139,jzzcsh
ACC000016,TXN0000004916,01/10/2023 09:14:19,38553.25,D,0,DEV0160,other1
ACC000040,TXN0000013683,01/10/2023 09:35:02,11755.75,D,0,DEV0059,ezpsa
ACC000031,TXN0000010478,01/10/2023 09:35:10,35336.91,C,0,DEV0135,other1
ACC000019,TXN0000005947,01/10/2023 09:38:26,4160.51,D,0,DEV0055,ezpsa
ACC000021,TXN0000006834,01/10/2023 09:42:57,33575.29,D,0,DEV0172,nypy
ACC000040,TXN0000013681,01/10/2023 09:45:32,22481.64,C,1,DEV0013,transfer
ACC000030,TXN0000010148,01/10/2023 09:58:12,22685.28,D,0,DEV0129,transfer
ACC000021,TXN0000006829,01/10/2023 10:10:29,42165.38,D,0,DEV0172,nypy
ACC000039,TXN0000013430,01/10/2023 10:15:43,16442.41,D,0,DEV0093,transfer
ACC000042,TXN0000014301,01/10/2023 10:28:31,46374.86,C,0,DEV0011,jzzcsh
ACC000021,TXN0000006833,01/10/2023 10:34:09,27661.65,D,0,DEV0172,other2
ACC000023,TXN0000007692,01/10/2023 10:50:02,14909.32,D,0,DEV0005,transfer
ACC000021,TXN0000006832,01/10/2023 10:55:13,65779.02,C,1,DEV0172,payment
ACC000041,TXN0000014080,01/10/2023 11:06:58,22932.72,D,0,DEV0161,ezpsa
ACC000039,TXN0000013431,01/10/2023 11:19:47,16352.65,D,0,DEV0096,other3
ACC000050,TXN0000017308,01/10/2023 11:29:17,17253.74,D,0,DEV0090,other2
ACC000028,TXN0000009294,01/10/2023 11:32:51,4568.09,D,0,DEV0101,transfer
ACC000025,TXN0000008326,01/10/2023 11:38:10,1474.28,C,1,DEV0111,other1
ACC000030,TXN0000010145,01/10/2023 11:44:07,28991.08,D,0,DEV0129,jzzcsh
ACC000030,TXN0000010147,01/10/2023 11:50:03,51914.06,C,0,DEV0129,ezpsa
ACC000001,TXN0000000005,01/10/2023 11:52:56,8612.27,D,0,DEV0177,other2
ACC000025,TXN0000008327,01/10/2023 11:54:01,751.63,D,0,DEV0075,ezpsa
ACC000033,TXN0000011291,01/10/2023 11:56:06,36329.05,D,0,DEV0113,other3
ACC000003,TXN0000000565,01/10/2023 12:03:03,18532.53,D,0,DEV0113,other3
ACC000049,TXN0000016802,01/10/2023 12:04:45,1787.82,D,0,DEV0069,other1
ACC000049,TXN0000016801,01/10/2023 12:16:38,1131.84,D,0,DEV0069,ezpsa
ACC000040,TXN0000013682,01/10/2023 12:18:38,26134.71,D,0,DEV0059,transfer
ACC000011,TXN0000003303,01/10/2023 12:28:07,16729.58,C,0,DEV0065,payment
ACC000043,TXN0000014773,01/10/2023 12:33:00,7451.04,D,0,DEV0186,payment
ACC000045,TXN0000015495,01/10/2023 12:35:32,21275.94,D,0,DEV0139,transfer
ACC000036,TXN0000012412,01/10/2023 12:36:50,15201.72,C,0,DEV0131,ezpsa
ACC000030,TXN0000010144,01/10/2023 12:52:16,31535.65,D,0,DEV0085,other1
ACC000012,TXN0000003673,01/10/2023 13:11:34,27426.88,D,0,DEV0056,other2
ACC000027,TXN0000009041,01/10/2023 13:22:08,29065.14,D,0,DEV0106,other3
ACC000012,TXN0000003672,01/10/2023 13:23:49,39891.62,D,0,DEV0056,jzzcsh
ACC000005,TXN0000001279,01/10/2023 13:32:23,5125.87,D,0,DEV0187,ezpsa
ACC000009,TXN0000002652,01/10/2023 13:39:37,19574.52,D,0,DEV0194,transfer
ACC000004,TXN0000000857,01/10/2023 13:46:14,62148.21,C,1,DEV0054,ezpsa
ACC000027,TXN0000009044,01/10/2023 13:49:41,41449.95,D,0,DEV0106,ezpsa
ACC000035,TXN0000012006,01/10/2023 13:57:19,1967.29,C,0,DEV0186,payment
ACC000047,TXN0000016230,01/10/2023 14:03:33,2101.58,D,0,DEV0154,other1
ACC000044,TXN0000015017,01/10/2023 14:13:42,32162.42,D,0,DEV0006,other2
ACC000017,TXN0000005268,01/10/2023 14:17:29,5811.01,D,1,DEV0083,transfer
ACC000031,TXN0000010479,01/10/2023 14:25:47,41283.49,D,0,DEV0135,transfer
ACC000031,TXN0000010481,01/10/2023 14:34:22,36606.69,D,0,DEV0135,other3
ACC000037,TXN0000012672,01/10/2023 14:42:33,36235.68,D,1,DEV0076,jzzcsh
ACC000044,TXN0000015021,01/10/2023 15:02:17,18387.16,D,0,DEV0006,transfer
ACC000023,TXN0000007691,01/10/2023 15:15:16,32583.91,D,0,DEV0005,other3
ACC000027,TXN0000009043,01/10/2023 15:26:41,38524.84,C,0,DEV0106,other1
ACC000020,TXN0000006420,01/10/2023 15:34:54,21807.0,D,0,DEV0082,transfer
ACC000033,TXN0000011290,01/10/2023 15:38:02,66342.43,D,0,DEV0113,other2
ACC000044,TXN0000015022,01/10/2023 15:46:05,13913.35,D,0,DEV0006,other1
ACC000002,TXN0000000307,01/10/2023 15:50:35,8815.23,C,1,DEV0086,other1
ACC000014,TXN0000004125,01/10/2023 16:33:30,13405.92,C,0,DEV0017,other3
ACC000035,TXN0000012009,01/10/2023 16:33:34,501.45,D,0,DEV0186,payment
ACC000049,TXN0000016799,01/10/2023 16:35:36,1447.64,D,0,DEV0069,ezpsa
ACC000050,TXN0000017307,01/10/2023 16:45:51,32202.12,C,0,DEV0090,transfer
ACC000049,TXN0000016798,01/10/2023 16:49:50,2735.73,D,0,DEV0069,other2
ACC000047,TXN0000016229,01/10/2023 16:55:12,3340.71,D,0,DEV0154,nypy
ACC000014,TXN0000004124,01/10/2023 17:03:44,9743.24,D,0,DEV0138,nypy
ACC000018,TXN0000005574,01/10/2023 17:08:54,21760.39,D,0,DEV0110,other1
ACC000014,TXN0000004123,01/10/2023 17:20:19,10692.89,D,1,DEV0138,ezpsa
ACC000018,TXN0000005573,01/10/2023 17:22:31,14475.2,C,0,DEV0110,other3
ACC000021,TXN0000006835,01/10/2023 17:32:51,36366.93,D,0,DEV0034,other1
ACC000007,TXN0000001971,01/10/2023 17:35:03,54792.29,D,0,DEV0160,payment
ACC000034,TXN0000011647,01/10/2023 17:40:13,499.97,D,0,DEV0151,other1
ACC000020,TXN0000006419,01/10/2023 17:51:58,13036.87,D,0,DEV0082,nypy
ACC000014,TXN0000004126,01/10/2023 17:57:09,8259.26,D,0,DEV0017,transfer
ACC000001,TXN0000000004,01/10/2023 18:10:06,22115.82,C,1,DEV0074,other3
ACC000045,TXN0000015496,01/10/2023 18:18:26,12517.88,D,0,DEV0139,other1
ACC000037,TXN0000012673,01/10/2023 18:20:18,31828.52,D,0,DEV0076,other2
ACC000038,TXN0000013082,01/10/2023 18:23:03,43302.94,C,0,DEV0140,jzzcsh
ACC000028,TXN0000009296,01/10/2023 18:25:09,18223.15,D,1,DEV0101,ezpsa
ACC000005,TXN0000001278,01/10/2023 18:31:58,4709.26,D,0,DEV0187,other1
ACC000040,TXN0000013680,01/10/2023 18:33:32,19248.4,D,1,DEV0059,transfer
ACC000015,TXN0000004467,01/10/2023 18:42:46,14241.65,D,0,DEV0003,ezpsa
ACC000003,TXN0000000564,01/10/2023 18:45:41,22122.76,C,0,DEV0113,other3
ACC000049,TXN0000016796,01/10/2023 18:47:37,4955.67,D,0,DEV0069,transfer
ACC000034,TXN0000011645,01/10/2023 18:56:45,2063.47,D,0,DEV0151,nypy
ACC000021,TXN0000006830,01/10/2023 19:00:21,38929.65,D,0,DEV0172,transfer
ACC000031,TXN0000010482,01/10/2023 19:02:46,42395.59,D,0,DEV0135,other3
ACC000044,TXN0000015019,01/10/2023 19:05:28,35861.85,C,0,DEV0006,other3
ACC000013,TXN0000003866,01/10/2023 19:08:25,36726.68,D,0,DEV0010,other3
ACC000036,TXN0000012411,01/10/2023 19:09:56,6750.75,D,0,DEV0131,transfer
ACC000026,TXN0000008757,01/10/2023 19:11:34,8100.42,D,0,DEV0057,nypy
ACC000026,TXN0000008760,01/10/2023 19:12:04,21832.9,D,0,DEV0057,ezpsa
ACC000027,TXN0000009042,01/10/2023 19:13:29,38768.01,C,1,DEV0068,ezpsa
ACC000038,TXN0000013083,01/10/2023 19:17:01,54881.07,D,1,DEV0140,other1
ACC000015,TXN0000004469,01/10/2023 19:20:14,17322.77,D,0,DEV0068,ezpsa
ACC000023,TXN0000007686,01/10/2023 19:21:09,14368.17,D,0,DEV0005,other3
ACC000010,TXN0000002871,01/10/2023 19:23:50,65199.29,C,0,DEV0003,other1
ACC000042,TXN0000014302,01/10/2023 19:23:58,90718.72,C,0,DEV0011,ezpsa
ACC000048,TXN0000016492,01/10/2023 19:26:09,38312.04,C,0,DEV0019,jzzcsh
ACC000015,TXN0000004466,01/10/2023 19:27:41,11925.98,D,0,DEV0199,other1
ACC000049,TXN0000016800,01/10/2023 19:28:37,1819.6,D,0,DEV0069,nypy
ACC000038,TXN0000013081,01/10/2023 19:29:22,24996.04,D,0,DEV0158,ezpsa
ACC000001,TXN0000000001,01/10/2023 19:32:10,17850.57,C,0,DEV0177,other1
ACC000036,TXN0000012413,01/10/2023 19:34:33,7841.47,D,0,DEV0131,nypy
ACC000015,TXN0000004465,01/10/2023 19:39:12,11139.93,D,0,DEV0199,payment
ACC000023,TXN0000007687,01/10/2023 19:52:37,27479.47,C,0,DEV0005,ezpsa
ACC000001,TXN0000000003,01/10/2023 20:13:18,16264.45,D,0,DEV0177,other3
ACC000010,TXN0000002872,01/10/2023 20:30:12,56737.17,D,0,DEV0003,ezpsa
ACC000023,TXN0000007689,01/10/2023 20:30:33,20305.62,D,0,DEV0005,payment
